GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0100000US,,United States,5172,Wireless telecommunications carriers (except satellite),2016,15845,244740,4901693,16865646
0100000US,,United States,5174,Satellite telecommunications,2016,463,8225,239313,887457
0100000US,,United States,5179,Other telecommunications,2016,6671,64572,1318214,4962083
0100000US,,United States,5182,"Data processing, hosting, and related services",2016,13566,462391,11196017,44059050
0100000US,,United States,5191,Other information services,2016,12311,283514,12321058,45268946
0100000US,,United States,5211,Monetary authorities - central bank,2016,59,19366,523086,2276471
0100000US,,United States,5221,Depository credit intermediation,2016,118865,1953761,43928472,144059639
0100000US,,United States,5222,Nondepository credit intermediation,2016,44609,597360,15780399,54965983
0100000US,,United States,5223,Activities related to credit intermediation,2016,28673,287088,5653526,21787734
0100000US,,United States,5231,Securities and commodity contracts intermediation and brokerage,2016,44577,410458,32075773,84337482
0100000US,,United States,5232,Securities and commodity exchanges,2016,34,6250,493070,1262763
0100000US,,United States,5239,Other financial investment activities,2016,57408,490141,34543000,98471116
0100000US,,United States,5241,Insurance carriers,2016,35344,1574316,43247283,138582369
0100000US,,United States,5242,"Agencies, brokerages, and other insurance related activities",2016,146168,990602,16774787,64872253
0100000US,,United States,5259,Other investment pools and funds,2016,1248,7453,316522,1121539
0100000US,,United States,5311,Lessors of real estate,2016,127121,576584,7106744,26744730
0100000US,,United States,5312,Offices of real estate agents and brokers,2016,110873,306508,4837213,20391420
0100000US,,United States,5313,Activities related to real estate,2016,96272,679909,8454714,35393558
0100000US,,United States,5321,Automotive equipment rental and leasing,2016,16384,167083,1731139,7034847
0100000US,,United States,5322,Consumer goods rental,2016,19633,146179,1135903,5061829
0100000US,,United States,5323,General rental centers,2016,2768,19615,171149,786994
0100000US,,United States,5324,Commercial and industrial machinery and equipment rental and leasing,2016,14896,179528,2786366,11371513
0100000US,,United States,5331,Lessors of nonfinancial intangible assets (except copyrighted works),2016,2553,36012,992922,3722510
0100000US,,United States,5411,Legal services,2016,185314,1137480,22375779,103077531
0100000US,,United States,5412,"Accounting, tax preparation, bookkeeping, and payroll services",2016,133001,1233330,15734229,66900500
0100000US,,United States,5413,"Architectural, engineering, and related services",2016,111047,1431680,28072625,119643680
